iter	Passed	Remaining
129	11895	79607
130	11984	79503
131	12071	79381
132	12161	79278
133	12252	79184
134	12340	79071
135	12428	78958
136	12512	78817
137	12601	78712
138	12691	78614
139	12778	78493
140	12871	78414
141	12954	78272
142	13043	78167
143	13131	78061
144	13219	77951
145	13313	77872
146	13418	77864
147	13523	77849
148	13621	77797
149	13711	77696
150	13802	77602
151	13892	77507
152	13982	77403
153	14069	77292
154	14160	77199
155	14252	77109
156	14344	77021
157	14434	76921
158	14524	76823
159	14618	76745
160	14702	76617
161	14793	76523
162	14886	76442
163	14976	76342
164	15065	76242
165	15151	76124
166	15242	76030
167	15331	75925
168	15418	75817
169	15506	75707
170	15597	75616
171	15687	75516
172	15785	75460
173	15892	75442
174	15998	75423
175	16091	75338
176	16182	75244
177	16270	75135
178	16359	75032
179	16451	74945
180	16542	74852
181	16628	74736
182	16710	74601
183	16761	74332
184	16819	74098
185	16883	73886
186	16940	73648
187	16992	73393
188	17051	73168
189	17103	72916
190	17157	72671
191	17213	72438
192	17279	72250
193	17366	72153
194	17456	72065
195	17545	71974
196	17629	71858
197	17717	71764
198	17815	71710
199	17908	71634
200	17998	71545
201	18088	71457
202	18175	71359
203	18277	71316
204	18378	71274
205	18492	71278
206	18580	71180
207	18672	71098
208	18767	71029
209	18862	70960
210	18958	70894
211	19042	70778
212	19128	70675
213	19219	70589
214	19308	70497
215	19394	70395
216	19480	70290
217	19569	70197
218	19733	70374
219	19831	70312
220	19882	70082
221	19933	69856
222	19990	69651
223	20046	69446
224	20121	69307
225	20211	69219
226	20296	69116
227	20380	69008
228	20465	68905
229	20556	68818
230	20645	68728
231	20752	68699
232	20854	68650
233	20959	68610
234	21046	68514
235	21131	68410
236	21210	68286
237	21265	68085
238	21321	67890
239	21374	67684
240	21450	67556
241	21537	67460
242	21629	67379
243	21720	67297
244	21814	67223
245	21909	67152
246	21998	67064
247	22082	66959
248	22137	66769
249	22191	66574
250	22276	66473
251	22358	66366
252	22442	66263
253	22529	66169
254	22598	66024
255	22656	65844
256	22737	65735
257	22825	65644
258	22911	65548
259	22995	65449
260	23086	65368
261	23191	65326
262	23273	65218
263	23344	65080
264	23430	64987
265	23515	64889
266	23600	64792
267	23684	64690
268	23741	64515
269	23790	64322
270	23855	64171
271	23941	64078
272	24026	63982
273	24111	63886
274	24199	63799
275	24289	63715
276	24375	63622
277	24455	63513
278	24508	63335
279	24567	63173
280	24655	63086
281	24746	63008
282	24835	62923
283	24925	62839
284	25008	62741
285	25097	62656
286	25181	62559
287	25241	62402
288	25299	62240
289	25379	62135
290	25470	62056
291	25577	62015
292	25689	61987
293	25785	61920
294	25879	61846
295	25971	61770
296	26045	61649
297	26100	61485
298	26183	61387
299	26269	61295
300	26355	61203
301	26436	61101
302	26488	60932
303	26566	60823
304	26658	60746
305	26743	60652
306	26896	60713
307	27001	60665
308	27086	60571
309	27171	60478
310	27257	60386
311	27317	60238
312	27392	60122
313	27478	60031
314	27568	59951
315	27662	59878
316	27752	59795
317	27839	59706
318	27930	59626
319	28037	59579
320	28115	59470
321	28175	59325
322	28264	59241
323	28350	59151
324	28448	59084
325	28525	58975
326	28581	58823
327	28675	58749
328	28762	58661
329	28848	58572
330	28933	58478
331	29017	58383
332	29107	58301
333	29180	58186
334	29243	58049
335	29308	57918
336	29400	57841
337	29482	57743
338	29569	57655
339	29654	57565
340	29740	57475
341	29824	57380
342	29913	57298
343	29997	57204
344	30060	57071
345	30120	56932
346	30180	56795
347	30282	56735
348	30374	56659
349	30484	56614
350	30587	56556
351	30671	56463
352	30760	56380
353	30845	56289
354	30933	56202
355	31016	56109
356	31109	56031
357	31189	55932
358	31245	55790
359	31306	55656
360	31370	55527
361	31463	55452
362	31553	55370
363	31641	55285
364	31730	55202
365	31823	55125
366	31912	55043
367	32005	54965
368	32096	54886
369	32185	54802
370	32276	54721
371	32354	54620
372	32408	54478
373	32459	54330
374	32511	54185
375	32587	54081
376	32673	53993
377	32766	53918
378	32880	53874
379	32983	53815
380	33076	53737
381	33158	53644
382	33251	53567
383	33335	53476
384	33395	53346
385	33447	53204
386	33498	53060
387	33580	52967
388	33661	52872
389	33747	52784
390	33832	52695
391	33921	52613
392	34007	52524
393	34093	52438
394	34150	52305
395	34212	52182
396	34300	52098
397	34390	52018
398	34474	51928
399	34559	51839
400	34646	51753
401	34731	51665
402	34823	51587
403	34909	51500
404	34965	51368
405	35033	51255
406	35118	51168
407	35211	51091
408	35310	51023
409	35420	50971
410	35526	50912
411	35609	50820
412	35667	50693
413	35751	50604
414	35832	50511
415	35917	50423
416	36009	50343
417	36095	50257
418	36172	50157
419	36247	50055
420	36337	49974
421	36426	49892
422	36511	49803
423	36593	49712
424	36645	49578
425	36697	49446
426	36837	49433
427	36945	49376
428	37030	49287
429	37119	49204
430	37210	49124
431	37298	49040
432	37389	48960
433	37477	48876
434	37569	48797
435	37661	48718
436	37776	48668
437	37876	48600
438	37970	48522
439	38065	48446
440	38149	48356
441	38213	48241
442	38263	48110
443	38335	48005
444	38424	47922
445	38507	47831
446	38594	47746
447	38684	47665
448	38774	47583
449	38864	47500
450	38954	47419
451	39051	47345
452	39141	47264
453	39210	47156
454	39263	47029
455	39319	46907
456	39407	46823
457	39496	46740
458	39582	46654
459	39675	46576
460	39765	46494
461	39853	46409
462	39937	46321
463	40029	46240
464	40115	46153
465	40213	46081
466	40323	46022
467	40427	45955
468	40481	45833
469	40540	45715
470	40629	45632
471	40717	45548
472	40806	45465
473	40892	45379
474	40986	45300
475	41071	45213
476	41158	45127
477	41242	45039
478	41330	44954
479	41419	44870
480	41496	44775
481	41561	44665
482	41612	44541
483	41693	44450
484	41783	44367
485	41869	44281
486	41954	44194
487	42044	44112
488	42128	44023
489	42220	43943
490	42306	43857
491	42363	43741
492	42425	43630
493	42503	43535
494	42593	43454
495	42698	43386
496	42807	43323
497	42882	43227
498	42953	43126
499	43051	43051
500	43133	42961
501	43221	42877
502	43317	42800
503	43402	42713
504	43492	42631
505	43565	42532
506	43622	42418
507	43702	42325
508	43786	42238
509	43876	42155
510	43961	42068
511	44036	41972
512	44092	41858
513	44177	41771
514	44266	41688
515	44352	41601
516	44441	41518
517	44528	41433
518	44614	41348
519	44677	41240
520	44729	41123
521	44817	41039
522	44914	40964
523	44998	40876
524	45098	40803
525	45221	40751
526	45332	40687
527	45411	40595
528	45520	40529
529	45628	40463
530	45726	40387
531	45815	40303
532	45902	40218
533	45992	40135
534	46064	40037
535	46119	39924
536	46198	39832
537	46284	39746
538	46371	39661
539	46465	39582
540	46551	39495
541	46606	39383
542	46674	39282
543	46765	39200
544	46858	39119
545	47007	39086
546	47114	39018
547	47204	38935
548	47290	38848
549	47378	38763
550	47467	38680
551	47582	38617
552	47682	38542
553	47775	38461
554	47829	38349
555	47889	38242
556	47942	38130
557	48025	38041
558	48107	37952
559	48191	37865
560	48280	37780
561	48368	37696
562	48458	37613
563	48549	37530
564	48631	37442
565	48687	37333
566	48752	37231
567	48837	37143
568	48923	37058
569	49011	36973
570	49100	36890
571	49188	36805
572	49275	36720
573	49361	36634
574	49441	36543
575	49494	36433
576	49551	36326
577	49644	36245
578	49737	36165
579	49827	36081
580	49920	36001
581	50029	35931
582	50139	35862
583	50234	35783
584	50319	35696
585	50406	35611
586	50470	35509
587	50529	35404
588	50584	35297
589	50655	35201
590	50743	35116
591	50834	35034
592	50921	34949
593	51008	34864
594	51094	34778
595	51181	34693
596	51269	34608
597	51360	34526
598	51456	34447
599	51530	34353
600	51586	34247
601	51643	34142
602	51726	34055
603	51811	33969
604	51896	33883
605	51983	33797
606	52071	33713
607	52159	33629
608	52249	33545
609	52337	33461
610	52410	33367
611	52513	33292
612	52601	33208
613	52692	33125
614	52776	33038
615	52861	32952
616	52947	32866
617	53031	32780
618	53088	32676
619	53138	32569
620	53198	32467
621	53303	32393
622	53389	32307
623	53481	32226
624	53566	32139
625	53656	32056
626	53748	31974
627	53838	31891
628	53929	31809
629	54024	31728
630	54121	31649
631	54207	31563
632	54294	31479
633	54371	31387
634	54425	31284
635	54481	31181
636	54556	31089
637	54642	31003
638	54732	30920
639	54830	30842
640	54976	30790
641	55071	30709
642	55162	30626
643	55250	30542
644	55337	30456
645	55426	30372
646	55498	30279
647	55554	30177
648	55608	30074
649	55671	29976
650	55768	29897
651	55864	29817
652	55952	29732
653	56041	29648
654	56127	29563
655	56212	29477
656	56304	29394
657	56404	29316
658	56487	29229
659	56580	29147
660	56674	29065
661	56797	28999
662	56889	28916
663	56972	28829
664	57059	28744
665	57152	28662
666	57270	28592
667	57375	28515
668	57470	28434
669	57560	28350
670	57650	28266
671	57735	28180
672	57792	28080
673	57845	27978
674	57930	27892
675	58019	27808
676	58109	27724
677	58198	27639
678	58285	27554
679	58368	27467
680	58455	27382
681	58508	27281
682	58561	27179
683	58618	27080
684	58705	26996
685	58797	26912
686	58886	26829
687	58978	26746
688	59069	26662
689	59160	26579
690	59247	26494
691	59334	26408
692	59428	26326
693	59521	26244
694	59622	26165
695	59724	26086
696	59828	26008
697	59914	25923
698	60002	25837
699	60090	25753
700	60176	25667
701	60232	25568
702	60298	25474
703	60357	25377
704	60408	25277
705	60497	25193
706	60584	25108
707	60674	25023
708	60760	24938
709	60848	24853
710	60933	24767
711	61024	24683
712	61110	24598
713	61197	24513
714	61316	24440
715	61463	24379
716	61557	24296
717	61657	24216
718	61754	24134
719	61859	24056
720	61966	23978
721	62084	23905
722	62205	23832
723	62280	23742
724	62385	23663
725	62489	23584
726	62583	23501
727	62667	23414
728	62750	23326
729	62828	23237
730	62883	23140
731	62937	23042
732	63029	22958
733	63115	22873
734	63206	22788
735	63293	22702
736	63380	22617
737	63472	22533
738	63560	22448
739	63648	22363
740	63743	22280
741	63842	22198
742	63927	22112
743	64018	22027
744	64084	21934
745	64141	21839
746	64228	21753
747	64311	21666
748	64407	21583
749	64514	21504
750	64631	21428
751	64715	21342
752	64813	21260
753	64883	21168
754	64950	21076
755	65034	20989
756	65124	20905
757	65213	20820
758	65298	20733
759	65383	20647
760	65474	20562
761	65552	20474
762	65603	20377
763	65683	20289
764	65767	20203
765	65852	20116
766	65937	20030
767	66021	19944
768	66084	19851
769	66168	19764
770	66253	19678
771	66345	19594
772	66414	19503
773	66471	19408
774	66558	19323
775	66651	19239
776	66736	19153
777	66824	19068
778	66925	18986
779	67028	18905
780	67211	18846
781	67307	18763
782	67404	18680
783	67486	18593
784	67575	18507
785	67661	18421
786	67746	18335
787	67823	18246
788	67885	18154
789	67936	18058
790	68004	17968
791	68093	17883
792	68180	17797
793	68268	17711
794	68359	17627
795	68443	17540
796	68532	17455
797	68618	17369
798	68705	17283
799	68790	17197
800	68850	17105
801	68908	17012
802	68984	16924
803	69067	16837
804	69155	16751
805	69245	16667
806	69340	16583
807	69444	16501
808	69565	16423
809	69666	16341
810	69752	16255
811	69845	16171
812	69932	16085
813	70017	15998
814	70115	15915
815	70207	15831
816	70292	15744
817	70378	15658
818	70434	15566
819	70484	15472
820	70539	15379
821	70628	15294
822	70712	15207
823	70804	15123
824	70899	15039
825	70983	14952
826	71070	14867
827	71163	14782
828	71248	14696
829	71301	14603
830	71359	14512
831	71423	14421
832	71510	14336
833	71592	14249
834	71682	14164
835	71768	14078
836	71876	13997
837	71984	13915
838	72088	13833
839	72184	13749
840	72278	13665
841	72368	13579
842	72452	13493
843	72536	13407
844	72622	13321
845	72708	13235
846	72794	13149
847	72876	13062
848	72940	12972
849	72999	12882
850	73084	12796
851	73171	12710
852	73259	12624
853	73351	12540
854	73433	12453
855	73517	12367
856	73605	12281
857	73692	12196
858	73779	12110
859	73860	12023
860	73920	11933
861	73979	11843
862	74052	11755
863	74139	11670
864	74232	11585
865	74341	11503
866	74451	11420
867	74546	11336
868	74636	11251
869	74729	11166
870	74814	11080
871	74898	10994
872	74985	10908
873	75038	10817
874	75089	10727
875	75149	10637
876	75230	10551
877	75316	10465
878	75403	10379
879	75490	10294
880	75576	10208
881	75661	10122
882	75749	10036
883	75836	9951
884	75922	9865
885	76008	9779
886	76095	9694
887	76184	9608
888	76237	9518
889	76289	9428
890	76345	9339
891	76413	9251
892	76503	9166
893	76595	9081
894	76690	8997
895	76795	8913
896	76898	8830
897	76994	8745
898	77149	8667
899	77255	8583
900	77343	8498
901	77434	8413
902	77524	8327
903	77616	8242
904	77705	8156
905	77790	8071
906	77884	7985
907	77977	7900
908	78070	7815
909	78157	7729
910	78243	7644
911	78330	7558
912	78418	7472
913	78494	7385
914	78551	7297
915	78601	7207
916	78655	7119
917	78709	7030
918	78780	6943
919	78869	6858
920	78954	6772
921	79044	6687
922	79132	6601
923	79223	6516
924	79333	6432
925	79441	6348
926	79528	6262
927	79618	6177
928	79704	6091
929	79790	6005
930	79880	5920
931	79966	5834
932	80060	5749
933	80145	5663
934	80229	5577
935	80284	5489
936	80342	5401
937	80396	5314
938	80451	5226
939	80533	5140
940	80618	5054
941	80705	4969
942	80792	4883
943	80878	4797
944	80972	4712
945	81060	4627
946	81154	4541
947	81243	4456
948	81332	4370
949	81430	4285
950	81521	4200
951	81614	4114
952	81716	4030
953	81794	3943
954	81852	3856
955	81909	3769
956	82009	3684
957	82100	3599
958	82189	3513
959	82276	3428
960	82364	3342
961	82455	3257
962	82541	3171
963	82633	3085
964	82722	3000
965	82807	2914
966	82891	2828
967	82979	2743
968	83073	2657
969	83162	2572
970	83249	2486
971	83337	2400
972	83426	2315
973	83501	2228
974	83564	2142
975	83618	2056
976	83674	1969
977	83748	1883
978	83838	1798
979	83930	1712
980	84034	1627
981	84141	1542
982	84242	1456
983	84333	1371
984	84425	1285
985	84510	1199
986	84595	1114
987	84682	1028
988	84770	942
989	84862	857
990	84953	771
991	85047	685
992	85132	600
993	85207	514
994	85262	428
995	85315	342
996	85369	256
997	85432	171
998	85516	85
999	85602	0
