iter	MultiClass
180	0.7521892401
181	0.749517883
182	0.7482580635
183	0.7454744607
184	0.7423266245
185	0.7405787936
186	0.7387029542
187	0.736032616
188	0.7344830324
189	0.7327391106
190	0.7304582148
191	0.7285695385
192	0.7268709768
193	0.7251268927
194	0.7226264295
195	0.7211595366
196	0.7189089134
197	0.7170707608
198	0.7154524073
199	0.7141635705
200	0.7127724365
201	0.7108141196
202	0.708554094
203	0.7070580349
204	0.7040445209
205	0.7024420676
206	0.7013199531
207	0.6997732665
208	0.697805943
209	0.6951871273
210	0.6929189319
211	0.6907445557
212	0.6890830312
213	0.6870361649
214	0.6848429143
215	0.6830615777
216	0.6805417136
217	0.6783494766
218	0.6759697026
219	0.6749969608
220	0.6728640319
221	0.6713275932
222	0.6694089775
223	0.6678551171
224	0.6662925024
225	0.6643603244
226	0.6624139664
227	0.6608959769
228	0.6587656585
229	0.6576584003
230	0.6555440656
231	0.6535722744
232	0.6515168966
233	0.6498817327
234	0.6486249243
235	0.6470767243
236	0.6456035413
237	0.6436210431
238	0.6415223491
239	0.6398997704
240	0.6387116462
241	0.636702837
242	0.6350009446
243	0.6333861674
244	0.6320202054
245	0.6300271402
246	0.6285628946
247	0.6270209984
248	0.6252181987
249	0.6232139872
250	0.6218146447
251	0.6206201917
252	0.6191308518
253	0.6182429827
254	0.616240653
255	0.6143193945
256	0.6129728468
257	0.6117769081
258	0.6107028644
259	0.6087969548
260	0.6074212719
261	0.6056406037
262	0.60385931
263	0.6022078279
264	0.6001451994
265	0.5977313284
266	0.5957405286
267	0.5935952438
268	0.5924550641
269	0.5903629707
270	0.5887128443
271	0.5871930289
272	0.5856791886
273	0.5848971293
274	0.5833750193
275	0.5813530617
276	0.5804211177
277	0.5796696609
278	0.5786040604
279	0.576666206
280	0.5744366345
281	0.5727399794
282	0.5718718466
283	0.5702353487
284	0.5683455808
285	0.5672187846
286	0.5657805912
287	0.5643074562
288	0.5630919571
289	0.5618406588
290	0.5607613595
291	0.5591723416
292	0.5577037015
293	0.5562810989
294	0.5552371085
295	0.5536373577
296	0.5520840112
297	0.5513181511
298	0.5503617187
299	0.5485881535
300	0.5472777762
301	0.5459890059
302	0.5446660462
303	0.5433255586
304	0.5416415594
305	0.5404273901
306	0.5388472258
307	0.5378070352
308	0.5365562231
309	0.5355993245
310	0.534655683
311	0.5333230797
312	0.532079352
313	0.531355392
314	0.5307544049
315	0.5293030653
316	0.5279500912
317	0.5269262999
318	0.526234336
319	0.5250978762
320	0.5233739591
321	0.521727678
322	0.520627702
323	0.5191132983
324	0.5179846171
325	0.5156710282
326	0.5146047364
327	0.5135474232
328	0.5120935119
329	0.5108301978
330	0.5098696255
331	0.5092245846
332	0.5081526732
333	0.5075299357
334	0.5063264635
335	0.5047079538
336	0.5030024372
337	0.501919309
338	0.5009250997
339	0.4994762816
340	0.4987384608
341	0.4975726691
342	0.4965570235
343	0.4954605558
344	0.4941568353
345	0.4932285703
346	0.4923733257
347	0.4908927741
348	0.489820463
349	0.4885234396
350	0.4871843043
351	0.4860391567
352	0.4851444163
353	0.4841529599
354	0.4832744831
355	0.4824776246
356	0.4810468052
357	0.4803235185
358	0.4794386593
359	0.4784526084
360	0.4774784588
361	0.4765642649
362	0.4756344118
363	0.474899175
364	0.4737069247
365	0.472981311
366	0.4723064784
367	0.4710311131
368	0.4702027471
369	0.4690362823
370	0.468074893
371	0.4664567985
372	0.4655512113
373	0.4644827798
374	0.4636133876
375	0.4627061483
376	0.4622484905
377	0.4617733648
378	0.46056537
379	0.4595910538
380	0.4586768709
381	0.4578144419
382	0.4564983686
383	0.455157175
384	0.4539812117
385	0.4526180128
386	0.4513577868
387	0.4504357803
388	0.4496066049
389	0.4487779659
390	0.4479306689
391	0.4472538371
392	0.4465545458
393	0.4452990745
394	0.4446023768
395	0.4434945824
396	0.4425081928
397	0.4418114802
398	0.4410551974
399	0.4401354701
400	0.4393097635
401	0.438603304
402	0.4372080068
403	0.4364592729
404	0.4355724532
405	0.4346466575
406	0.4340205089
407	0.4331990233
408	0.4322509438
409	0.4313349113
410	0.4302996943
411	0.4290841368
412	0.4284186182
413	0.4271673397
414	0.426232129
415	0.4257510483
416	0.4247053618
417	0.4241295745
418	0.4229350469
419	0.4217031118
420	0.420496725
421	0.4193614916
422	0.4182640724
423	0.4174520706
424	0.4168119828
425	0.416279389
426	0.4152927988
427	0.4147567183
428	0.4138570793
429	0.4131068305
430	0.4124952962
431	0.4119302839
432	0.4105170739
433	0.4093756535
434	0.4082831953
435	0.4076616097
436	0.4067497241
437	0.4061048149
438	0.4051059113
439	0.4045118787
440	0.4038593876
441	0.4031630811
442	0.4021138124
443	0.4012912299
444	0.400786711
445	0.4002461559
446	0.3992188115
447	0.398263465
448	0.3975653599
449	0.3970211773
450	0.3960176727
451	0.3955566269
452	0.3946755795
453	0.3942325187
454	0.3937841459
455	0.3928571677
456	0.3922217488
457	0.3914883699
458	0.3908627811
459	0.3900967415
460	0.3898106648
461	0.3892844267
462	0.3882272635
463	0.3872507999
464	0.3865644563
465	0.3859355109
466	0.3854506521
467	0.3847141037
468	0.3840816738
469	0.3832909276
470	0.3826849116
471	0.3819710486
472	0.3816378033
473	0.3807673811
474	0.3801834873
475	0.3793167168
476	0.3786056809
477	0.3776389211
478	0.3768883494
479	0.3762898551
480	0.3756273409
481	0.3753119824
482	0.37444182
483	0.3739128333
484	0.3734042106
485	0.3730522424
486	0.3721293474
487	0.3716054744
488	0.3708699189
489	0.3702526544
490	0.3692315806
491	0.3686314361
492	0.3681954162
493	0.367832757
494	0.3671
495	0.3665579689
496	0.3661022052
497	0.3656220975
498	0.3651012502
499	0.3644659876
